transaction_id,customer_id,transaction_date,channel,payment_method,product_category,quantity,unit_price,transaction_amount
T0006639,C01099,2019-01-12,Web,Credit Card,Electronics,1,2745.78,2745.78
T0007578,C01250,2019-01-13,Web,,Home & Kitchen,1,2057.62,2057.62
T0001393,C00230,2019-01-16,Web,Debit Card,Sports,5,184.47,922.36
T0009046,C01499,2019-01-16,Web,Credit Card,Books,5,215.97,1079.84
T0009039,C01498,2019-01-21,Web,Credit Card,Clothing,1,2476.74,2476.74
T0002968,C00496,2019-01-21,In-Store,Credit Card,Electronics,1,2370.07,2370.07
T0000166,C00026,2019-01-23,Web,Debit Card,Home & Kitchen,1,1023.75,1023.75
T0005814,C00959,2019-01-23,Web,Debit Card,Toys,2,693.87,1387.73
T0006390,C01053,2019-01-24,In-Store,Credit Card,Books,3,840.54,2521.63
T0008919,C01476,2019-01-26,Web,Debit Card,Home & Kitchen,2,263.72,527.44
T0008229,C01355,2019-01-29,Mobile App,Cash,Clothing,1,1441.27,1441.27
T0000457,C00073,2019-02-01,Mobile App,Credit Card,Sports,1,4801.04,4801.04
T0008527,C01408,2019-02-05,Mobile App,Credit Card,Beauty,1,1844.63,1844.63
T0001308,C00215,2019-02-05,Web,Wallet,Sports,1,2212.09,2212.09
T0006203,C01025,2019-02-05,In-Store,Debit Card,Beauty,3,621.32,1863.96
T0003339,C00556,2019-02-06,Mobile App,Debit Card,Beauty,1,3012.54,3012.54
T0000459,C00073,2019-02-07,Web,Debit Card,Sports,1,1811.32,1811.32
T0002244,C00369,2019-02-09,Web,Debit Card,Beauty,1,1657.69,1657.69
T0004411,C00737,2019-02-10,Mobile App,Credit Card,Sports,1,1172.83,1172.83
T0001038,C00171,2019-02-13,Mobile App,Cash,Sports,1,3606.21,3606.21
T0000514,C00080,2019-02-13,Web,Credit Card,Electronics,1,3708.49,3708.49
T0003603,C00603,2019-02-15,Web,Debit Card,Clothing,1,2443.28,2443.28
T0003399,C00567,2019-02-17,Web,Credit Card,Sports,1,1326.01,1326.01
T0001824,C00299,2019-02-18,Web,Debit Card,Clothing,1,1704.1,1704.1
T0005690,C00944,2019-02-19,Web,Credit Card,Electronics,2,854.13,1708.26
T0008735,C01441,2019-02-19,In-Store,Wallet,Sports,2,485.88,971.77
T0005694,C00944,2019-02-19,Web,,Beauty,2,798.35,1596.7
T0002246,C00369,2019-02-19,Web,Cash,Clothing,3,834.17,2502.5
T0009044,C01498,2019-02-20,Web,Wallet,Beauty,1,2519.85,2519.85
T0009768,C00021,2019-02-22,Web,Credit Card,Home & Kitchen,1,3704.34,3704.34
T0004828,C00802,2019-02-22,Web,Debit Card,Beauty,2,740.79,1481.57
T0003210,C00535,2019-02-24,Mobile App,Debit Card,Beauty,3,1192.11,3576.33
T0008941,C01480,2019-02-25,Mobile App,Cash,Electronics,4,535.87,2143.48
T0004442,C00741,2019-02-27,Mobile App,Credit Card,Electronics,3,354.47,1063.42
T0009724,C00013,2019-03-01,Mobile App,Debit Card,Books,1,2326.2,2326.2
T0002555,C00420,2019-03-03,Mobile App,Wallet,Toys,1,849.23,849.23
T0003194,C00533,2019-03-03,Mobile App,Credit Card,Sports,2,1414.94,2829.88
T0008809,C01455,2019-03-05,Web,Cash,Sports,2,936.55,1873.11
T0009820,C00029,2019-03-06,Mobile App,Credit Card,Sports,3,1137.1,3411.3
T0008635,C01424,2019-06-03,Mobile App,Credit Card,Electronics,6,227.62,1365.71
T0008099,C01335,2019-03-06,Mobile App,Credit Card,Sports,1,479.5,479.5
T0008101,C01335,2019-03-07,Mobile App,Debit Card,Sports,1,1100.39,1100.39
T0001193,C00194,2019-03-07,Web,Wallet,Electronics,2,842.11,1684.23
T0003286,C00547,2019-03-10,Web,Cash,Books,2,1271.06,2542.11
